x [px],y [px],t [s],nPhotons [1],PSD value,t_relToExtTrigger [s],neutron_id
25.86,94.54,4.546875e-07,1.0,0.0, nan,528
46.07,65.12,9.15625e-07,2.0,7.8125e-10, nan,529
46.23,64.99,6.5625e-07,3.0,5.208333333333e-10, nan,533
45.95,64.42,6.5625e-07,2.0,3.90625e-09, nan,533
129.5,148.9,5.953125e-07,2.0,2.34375e-09, nan,535
47.28,65.35,6e-07,1.0,0.0, nan,535
129.05,149.23,5.5625e-07,3.0,2.083333333333e-09, nan,537
186.32,100.31,5.5625e-07,1.0,0.0, nan,537
30.61,173.83,5.5625e-07,1.0,0.0, nan,537
32.0,172.28,5.5625e-07,1.0,0.0, nan,537
30.36,173.86,4.515625e-07,17.0,2.297794117647e-09, nan,546
27.65,171.62,4.609375e-07,1.0,0.0, nan,546
33.15,170.81,6.359375e-07,1.0,0.0, nan,551
30.88,173.8,6.359375e-07,3.0,1.041666666667e-09, nan,551
32.25,172.86,6.40625e-07,1.0,0.0, nan,551
31.03,174.33,4.25e-07,2.0,0.0, nan,552
158.21,225.04,7.265625e-07,1.0,0.0, nan,554
30.75,174.12,7.265625e-07,1.0,0.0, nan,554
102.6,62.11,4.109375e-07,1.0,0.0, nan,560
102.7,62.29,9.015625e-07,3.0,2.604166666667e-09, nan,563
36.28,226.31,9.015625e-07,1.0,0.0, nan,563
49.87,35.57,9.015625e-07,1.0,0.0, nan,563
48.32,37.59,9.015625e-07,1.0,0.0, nan,563
88.1,180.22,3.90625e-07,2.0,0.0, nan,566
49.87,35.41,3.90625e-07,4.0,1.953125e-09, nan,566
87.98,180.41,9.109375e-07,1.0,0.0, nan,569
